age,Lhat,sigma,lower,upper
0.25,86.7085152834444,12.8266614012878,61.5687208950304,111.848309671858
0.5,93.9036944141423,13.0911400764754,68.2455313476817,119.561857480603
0.75,100.82802714103,13.3456630442708,74.6710082244515,126.985046057608
1,107.491708870381,13.5906050649818,80.8546124149089,134.128805325853
1.25,113.904551225236,13.8263267919035,86.8054486746238,141.003653775848
1.5,120.075996492059,14.0531753023455,92.5322790310341,147.619713953084
1.75,126.015131523589,14.2714846086695,98.0435356846788,153.986727362499
2,131.730701118342,14.4815761500897,103.347333424792,160.114068811892
2.25,137.231120896483,14.6837592659613,108.451481577542,166.010760215423
2.5,142.524489691,14.8783316512519,113.363495504504,171.685483877496
2.75,147.618601472453,15.0655797948691,118.090607668295,177.146595276611
3,152.520956824838,15.2457794014871,122.63977828168,182.402135367995
3.25,157.238773989461,15.419195797495,127.017705555799,187.459842423122
3.5,161.778999493103,15.5860843216643,131.230835562637,192.32716342357
3.75,166.148318376103,15.7466907011105,135.285371726234,197.011265025971
4,170.353164035425,15.9012514131018,139.187283956628,201.519044114221
4.25,174.399727697215,16.0499940332496,142.942317439963,205.857137954467
4.5,178.293967532776,16.1931375705908,146.556001097716,210.031933967837
4.75,182.041617431398,16.330892790058,150.0336557275,214.049579135297
5,185.648195442949,16.4634625228095,153.380401837418,217.915989048481
5.25,189.119011902668,16.5910419648791,156.601167185512,221.636856619824
5.5,192.459177250118,16.7138189645833,159.700694035412,225.217660464824
5.75,195.673609553809,16.8319742991091,162.683546138852,228.663672968767
6,198.767041752579,16.9456819406913,165.554115455353,231.979968049805
6.25,201.74402862438,17.0551093127696,168.316628618958,235.171428629802
6.5,204.608953492752,17.1604175365032,170.975153161536,238.242753823968
6.75,207.366034680836,17.2617616680062,173.533603501829,241.198465859842
7,210.019331722446,17.3592909266525,175.995746709054,244.042916735837
7.25,212.572751339337,17.4531489147868,178.365208049541,246.780294629134
7.5,215.030053193475,17.5434738291654,180.64547632459,249.41463006236
7.75,217.394855422769,17.6303986644368,182.83990900739,251.949801838149
8,219.670639968432,17.7140514089643,184.951737186572,254.389542750293
8.25,221.860757701797,17.7945552332754,186.984070323669,256.737445079926
8.5,223.968433358151,17.8720286714195,188.939900831502,258.9969658848
8.75,225.996770284842,17.9465857954967,190.82210848021,261.171432089474
9,227.94875501066,18.0183363836187,192.633464637439,263.26404538388
9.25,229.827261643204,18.0873860815459,194.376636348903,265.277886937505
9.5,231.635056100733,18.1538365582406,196.054190265354,267.215921936111
9.75,233.374800184705,18.2177856555649,197.668596421727,269.081003947682
10,235.049055499025,18.2793275323429,199.222231874021,270.875879124028
10.25,236.660287221756,18.3385528030008,200.717384199288,272.603190244224
10.5,238.210867734853,18.3955486709878,202.156254863863,274.265480605843
10.75,239.703080117267,18.4503990571742,203.540962464814,275.86519776972
11,241.139121506554,18.5031847234174,204.873545849364,277.404697163744
11.25,242.521106333948,18.5539833914755,206.155967116901,278.886245550994
11.5,243.851069437654,18.6028698574449,207.390114507976,280.312024367331
11.75,245.13096905895,18.6499161018906,208.577805184551,281.68413293335
12,246.36268972551,18.6951913958305,209.720787905599,283.004591545421
12.25,247.548045026179,18.7387624027302,210.820745601975,284.275344450384
12.5,248.688780281317,18.7806932766582,211.879297854373,285.49826270826
12.75,249.786575112603,18.8210457567469,212.898003277999,286.675146947208
13,250.843045916124,18.8598792580975,213.878361817479,287.807730014769
13.25,251.859748242354,18.8972509592625,214.821816955384,288.897679529324
13.5,252.838179086554,18.9332158864361,215.729757837617,289.94660033549
13.75,253.77977909295,18.9678269944746,216.603521318793,290.956036867107
14,254.685934675944,19.0011352448671,217.44439393063,291.927475421258
14.25,255.557980061473,19.0331896807718,218.253613776241,292.862346346705
14.5,256.397199251526,19.0640374992271,219.03237235312,293.762026149932
14.75,257.204827914713,19.0937241206445,219.781816307506,294.62783952192
15,257.982055205666,19.1222932556857,220.503049122709,295.461061288623
15.25,258.730025515956,19.1497869696228,221.197132743881,296.262918288031
15.5,259.449840159094,19.1762457442745,221.865089141626,297.034591176561
15.75,260.142558992112,19.2017085376124,222.507901816757,297.777216167468
16,260.809201976098,19.2262128411224,223.126517248396,298.491886703799
16.25,261.450750677987,19.2497947350075,223.721846287584,299.179655068391
16.5,262.068149715828,19.272488941312,224.29476549841,299.841533933246
16.75,262.662308149637,19.2943288750469,224.846118448674,300.4784978506
17,263.234100819902,19.3153466933899,225.376716951953,301.091484687851
17.25,263.784369635702,19.3355733430335,225.887342262923,301.68139700848
17.5,264.313924814331,19.3550386057515,226.378746227675,302.249103400986
17.75,264.82354607427,19.3737711422496,226.851652390739,302.7954397578
18,265.313983783243,19.3917985343653,227.306757060431,303.321210506056
18.25,265.785960063063,19.4091473256795,227.744730334099,303.827189792027
18.5,266.240169852883,19.4258430605996,228.166217084781,304.314122620985
18.75,266.677281932429,19.4419103219709,228.571837910708,304.782725954149
19,267.097939906711,19.4573727672728,228.962190049086,305.233689764336
19.25,267.502763153671,19.4722531634514,229.33784825546,305.667678051882
19.5,267.892347736155,19.4865734204425,229.699365649992,306.085329822317
19.75,268.267267279558,19.5003546234314,230.047274531873,306.487260027242
20,268.628073816431,19.5136170638985,230.382087163084,306.874060469779
20.25,268.975298599299,19.5263802694973,230.704296522651,307.246300675947
20.5,269.309452882872,19.5386630328062,231.014377032508,307.604528733236
20.75,269.631028676823,19.5504834389993,231.312785256038,307.949272097608
21,269.940499470223,19.5618588924746,231.599960570318,308.281038370127
21.25,270.238320928706,19.5728061424806,231.87632581306,308.600316044352
21.5,270.524931565395,19.583341307778,232.142287905195,308.907575225596
21.75,270.80075338657,19.5934799003727,232.39823845003,309.20326832311
22,271.066192513026,19.6032368483559,232.64455430984,309.487830716212
