name,est,log,se
L1,88.9274489640617,4.48782085711302,0.0297289468808221
L2,244.432972482226,5.49894113015438,0.0187430494144125
k,0.159667650855584,-1.83466080623588,0.0992165570729303
sigma_min,9.289432011761,2.22887741121078,0.165722935322514
sigma_max,29.3023127778309,3.37766644730482,0.094264920825835
