age,Lhat,sigma,lower,upper
0.25,88.9274489640618,10.2921591964216,68.7551876159227,109.099710312201
0.5,95.6503948139111,10.8967340064919,74.2931886120742,117.007601015748
0.75,102.110266897382,11.4776513640264,79.6144835967832,124.606050197981
1,108.317359482509,12.0358370023691,84.7275524340707,131.907166530946
1.25,114.281564015121,12.5721804302437,89.6405431647039,138.922584865538
1.5,120.012384881571,13.0875363492503,94.3612849906818,145.663484772461
1.75,125.518954554654,13.5827260158928,98.8973007516286,152.140608357679
2,130.810048146852,14.0585385503101,103.255818912976,158.364277380728
2.25,135.894097394108,14.5157321937955,107.443785085041,164.344409703176
2.5,140.779204092399,14.9550355171084,111.467873091349,170.090535093449
2.75,145.473153008524,15.377148581504,115.334495603855,175.611810413193
3,149.983424285689,15.7827440543306,119.049814361987,180.91703420939
3.25,154.317205363651,16.1724682809735,122.619749991826,186.014660735475
3.5,158.481402432414,16.5469423148525,126.049991441042,190.912813423787
3.75,162.482651437742,16.9067629071147,129.346005044639,195.619297830844
4,166.327328656004,17.2525034576004,132.513043235955,200.141614076054
4.25,170.021560855237,17.5847149285966,135.556152916784,204.48696879369
4.5,173.57123505858,17.9039267228349,138.48018349998,208.662286617181
4.75,176.982007925672,18.2106475271325,141.289794637339,212.674221214005
5,180.259314766941,18.5053661230209,143.989463645092,216.529165888789
5.25,183.408378205158,18.7885521656546,146.583492638823,220.233263771493
5.5,186.434216498066,19.0606569322398,149.076015389202,223.79241760693
5.75,189.341651535326,19.322114041177,151.471003909443,227.212299161208
6,192.135316522546,19.573340143063,153.77227478499,230.498358260101
6.25,194.819663364625,19.8147355846534,155.98349525552,233.65583147373
6.5,197.398969760182,20.0466850468437,158.108189058951,236.689750461414
6.75,199.877346018375,20.2695581576858,160.149742046771,239.604949989979
7,202.258741608969,20.4837100814169,162.111407579631,242.406075638306
7.25,204.546951456103,20.6894820844389,163.996311711816,245.09759120039
7.5,206.745621985773,20.8872020791511,165.807458172827,247.683785798719
7.75,208.858256936667,21.0771851465014,167.547733154042,250.168780719293
