age,length,sex
7.821242078,194.4425,male
8.011165717,217.7756,female
8.096257263,191.1092,male
8.111148155,214.4423,male
8.20221724,205.5535,female
8.274796148,203.3313,female
8.291887948,193.3314,female
8.38892181,231.1088,female
8.432982064,203.3313,male
8.435305456,166.665,male
8.465915294,242.2198,female
8.717223923,237.7754,female
8.822177772,219.9978,female
9.058055664,257.7752,female
9.058260257,194.4425,female
9.393766891,217.7756,female
9.4838063,228.8866,female
9.490136807,236.6643,female
9.497397903,232.2199,female
9.572347186,224.4422,female
9.788108127,211.109,female
9.967633931,213.3312,male
10.00013425,209.9979,female
10.03273968,198.8869,male
10.1812586,186.6648,male
10.1827667,243.3309,female
10.18531523,215.5534,female
10.20578579,209.9979,male
10.22840729,235.5532,female
10.25350725,235.5532,female
10.4346316,241.1087,female
10.51883995,204.4424,male
10.60665642,236.6643,female
10.73705898,199.998,male
11.03200048,203.3313,male
11.21882575,233.331,female
11.22315097,261.1085,female
11.32560722,251.1086,female
11.67483758,229.9977,female
12.00937413,299.997,female
12.45422509,268.8862,female
13.12565528,253.3308,female
13.1669592,258.8863,female
13.22410952,208.8868,male
14.21188187,239.9976,female
14.57720026,292.2193,female
14.85489289,192.2203,male
14.90048665,255.553,female
15.70376698,258.8863,female
16.5829549,196.6647,male
20.13078297,244.442,female
20.47072704,246.6642,female
21.14929345,285.5527,female
