id_number,length_cm,sex,decimal_age,readability
615,197,Female,6.607636922,3
334,205,Female,7.207288412,3
616,208,Female,7.002918436,3
244,162,Male,7.147835416,2
199,164,Male,6.732440918,2
141,179,Male,7.221488441,2
509,188,Male,7.156635158,2
361,210,Female,6.556729825,2
1797,150,Male,7.650814016,4
383,171,Male,7.763051362,4
406,183,Male,8.432982064,4
148,195,Female,7.577162085,4
127,208,Female,8.38892181,4
198,150,Male,8.435305456,3
231,172,Male,8.096257263,3
853,175,Male,7.821242078,3
412,183,Female,8.274796148,3
863,185,Female,8.20221724,3
503,193,Male,8.111148155,3
355,196,Female,8.011165717,3
131,198,Female,8.822177772,3
593,174,Female,8.291887948,2
307,218,Female,8.465915294,2
134,196,Female,9.393766891,4
171,209,Female,9.497397903,4
306,213,Female,9.490136807,4
220,214,Female,8.717223923,4
179,175,Female,9.058260257,3
271,190,Female,9.788108127,3
173,206,Female,9.4838063,3
346,232,Female,9.058055664,3
311,184,Male,10.51883995,4
146,192,Male,9.967633931,4
335,194,Female,10.18531523,4
214,212,Female,10.22840729,4
224,219,Female,10.1827667,4
408,168,Male,10.1812586,3
262,179,Male,10.03273968,3
164,180,Male,10.73705898,3
871,189,Female,10.00013425,3
276,189,Male,10.20578579,3
175,202,Female,9.572347186,3
237,212,Female,10.25350725,3
202,217,Female,10.4346316,3
565,213,Female,10.60665642,4
363,226,Female,11.32560722,4
592,183,Male,11.03200048,3
396,210,Female,11.21882575,3
505,235,Female,11.22315097,3
327,207,Female,11.67483758,4
549,270,Female,12.00937413,3
870,242,Female,12.45422509,2
290,188,Male,13.22410952,4
329,228,Female,13.12565528,4
309,233,Female,13.1669592,3
161,230,Female,14.90048665,4
195,263,Female,14.57720026,4
300,216,Female,14.21188187,3
285,173,Male,14.85489289,4
273,233,Female,15.70376698,3
207,177,Male,16.5829549,4
219,220,Female,20.13078297,4
196,257,Female,21.14929345,5
297,222,Female,20.47072704,4
